Description,GMP,STY,SCR,MMP,PlayerCount
Light Headed V3.0 3 Player,Light Headed 3,bil,light3-3p,light3-3p,3
Light Headed V3.0 4 Player,Light Headed 3,bil,light3-4p,light3-4p,4
Loco,loco,bil,loco,loco,
Loony Zooka 2 Player,LoonyZooka,wil,LoonyZooka,LoonyZooka-2p,2
Loony Zooka 3 Player,LoonyZooka,wil,LoonyZooka,LoonyZooka-3p,3
Loony Zooka 4 Player,LoonyZooka,wil,LoonyZooka,LoonyZooka-4p,4
Lorne Theatre,lorne2h_mod,wil2,lt,lorne_theatre,
Lorne Theatre Icecream,lorne2h_mod,wil2,lt_ic,lorne_theatre_ic,
Macau, Monaco & Suzuka,macau,macau,macau,macau,
Mafia Style p2,MStyle,wil,MStyle,MStyle_2p,2
Mafia Style p3,MStyle,wil,MStyle,MStyle_3p,3
mafia Town - 1 Player,mafia,bil,mafia1,mafia1,1
mafia Town - 2 Player,mafia,bil,mafia2,mafia2,2
mafia Town - 3 Player,mafia,bil,mafia3,mafia3,3
mafia Town - 4 Player,mafia,bil,mafia4,mafia4,4
mafia Town - 5 Player,mafia,bil,mafia5,mafia5,5
Mafia Wars,mw1,wil,mw1,mw1,
Mafia Wars 2,mw2,ste,mw2,mw2,
Mafia Wars 3,mw3,bil,mw3,mw3,
Mal's Race,Mal_s_Race,wil,MalsRace1p,MalsRace-1p,
Mal's Race - 2 Player,Mal_s_Race,wil,MalsRace2p,MalsRace-2p,2
Mal's Race - 3 Player,Mal_s_Race,wil,MalsRace3p,MalsRace-3p,3
Mal's Race - 4 Player,Mal_s_Race,wil,MalsRace4p,MalsRace-4p,4
ManDang's Loony Town - 2Player,Loony_Town,bil,Loony_Town,Loony_Town-2P,2
ManDang's Loony Town - 3Player,Loony_Town,bil,Loony_Town,Loony_Town-3P,3
ManDang's Loony Town - 4Player,Loony_Town,bil,Loony_Town,Loony_Town-4P,4
ManDang's Race - 2 player,ManDang_Race,wil,ManDang_Race,ManDang_Race-2P,2
ManDang's Race - 3 player,ManDang_Race,wil,ManDang_Race,ManDang_Race-3P,3
ManDang's Race - 4 player,ManDang_Race,wil,ManDang_Race,ManDang_Race-4P,4
ManDang's Race - 5 player,ManDang_Race,wil,ManDang_Race,ManDang_Race-5P,5
ManDang's Race - 6 player,ManDang_Race,wil,ManDang_Race,ManDang_Race-6P,6
ManDang's Race Test,ManDang_Race,wil,mandangracetest,mandangracetest,
ManDang's Rocket Town,rocket_town,ste,rocket_town,rocket_town,
ManDang's Water Town,Water_Town,wil,Water_Town,Water_Town,
ManDang's Water World - 2 player,Water_World,ste,Water_World,Water_World-2P,2
ManDang's Water World - 3 player,Water_World,ste,Water_World,Water_World-3P,3
ManDang's Water World - 4 player,Water_World,ste,Water_World,Water_World-4P,4
Mech War,mechwar,mechwar,mechwar,mechwar,
mike,mike,mike,mike,mike,
Mini 2 Players,Mini_M,wil,Mini_M,Mini_M2,2
Mini 3 Players,Mini_M,wil,Mini_M,Mini_M3,3
Mini 4 Players,Mini_M,wil,Mini_M,Mini_M4,4
MiniCage Multiplayer,MiniCage_M,ste,MiniCage_M,MiniCage_M,4
Mirrorland,mirrorland,bil,mirrorland,mirrorland,
MultiSlayer,ms,ms,ms,ms,
MultiSlayer BUSTED!,ms,ms,ms-busted,ms-busted,
MultiSlayer Cage,ms-cage,ms,ms-cage,ms-cage,
MultiSlayer Cops vs Robbers,ms,ms,ms-cops,ms-cops,
MultiSlayer Domination,ms-ship,ms,ms-dom,ms-dom,
MultiSlayer Football,ms-football,ms,ms-football,ms-football,
MultiSlayer Ghetto,ms-ghetto,ms,ms-ghetto,ms-ghetto,
MultiSlayer Graves,ms-graves,ms,ms-graves,ms-graves,
MultiSlayer Race,ms-race,ms,ms-race,ms-race,
MultiSlayer Ship,ms-ship,ms,ms-ship,ms-ship,
My Map 1,My Map 1,bil,My Map 1,My Map 1,
My Map 2,My Map 2,bil,My Map 2,My Map 2,
My Map 3,My Map 3,bil,My Map 3,My Map 3,
N's Mini City 2 player,Mini_City,wil,Mini_City,Mini_City-2P,2
N's Mini City 3 player,Mini_City,wil,Mini_City,Mini_City-3P,3
N's Mini City 4 player,Mini_City,wil,Mini_City,Mini_City-4P,4
N's Mini City 5 player,Mini_City,wil,Mini_City,Mini_City-5P,5
N's Mini City 6 player,Mini_City,wil,Mini_City,Mini_City-6P,6
Nude,bil,bil,nude,nude,
oil rig,oilrig,bil,oilrig,oilrig,
On Line,powerl,bil2,onl,onl,
Operation Black Thunder,obt,bil,obt,obt,1
Outer Space Chess Flamethrower,rick_space,rick_space,rick_space_cf,rick_space_cf,
Outer Space Chess Rocketlauncher,rick_space,rick_space,rick_space_cr,rick_space_cr,
Outer Space Gravity Fisting,rick_space,rick_space,rick_space_gf,rick_space_gf,
Outer Space Pass the Bomb,rick_space,rick_space,rick_space_ptb,rick_space_ptb,
Outer Space Teleport Battle - Noon lighting not supported!,rick_space,rick_space,rick_space,rick_space,
Pac-Man,pac-man,pac-man,pac-man,pac-man,
Palmont City,canyon,ste,canyon,canyon,
Pass The Bomb 2players,ptb,bil,ptb,ptb,2
Ped Roundup 1player,bil,bil,pedroundup,pedroundup,1
poopee,wsrace,ste,poopee,poopee,
Power Line,powerl,bil2,powerl,powerl,
Punch Battle,punch_battle,pb,pb_fists,pb_fists,
Punch Battle - Current&Fire (2 Players),punch_battle_edit,pb,pb_electrofire_2p,pb_electrofire_2p,2
Punch Battle - Current&Fire (3 Players),punch_battle_edit,pb,pb_electrofire_3p,pb_electrofire_3p,3
Punch Battle - Current&Fire (4 Players),punch_battle_edit,pb,pb_electrofire_4p,pb_electrofire_4p,4
Punch Battle - Current&Fire (5 Players),punch_battle_edit,pb,pb_electrofire_5p,pb_electrofire_5p,5
Punch Battle - Current&Fire (6 Players),punch_battle_edit,pb,pb_electrofire_6p,pb_electrofire_6p,6
Punch Battle - Guns Edition,punch_battle_edit,pb,pb_guns,pb_guns,
Punch Battle - Zooka,punch_battle_edit,pb,pb_zooka,pb_zooka,
Pure Zooka Arena 2P,epza,bil,epza,pza-2p,2
Pure Zooka Arena 3P,pza,bil,pza,pza-3p,3
Pure Zooka Arena 4P,pza,bil,pza,pza-4p,4
Pure Zooka Arena 5P,pza,bil,pza,pza-5p,5
Pure Zooka Arena 6P,pza,bil,pza,pza-6p,6
Pure Zooka Arena Clean,epza,bil,epza-clean,epza-clean,
Pushuland 1p,pushuland,wil,pl,Pl-1p,1
Pushuland 2p,pushuland,wil,pl,Pl-2p,2
Pushuland 3p,pushuland,wil,pl,Pl-3p,3
Pushuland 4p,pushuland,wil,pl,Pl-4p,4
Quarter To Death Easy,qtd,bil,qtde,qtde,1
Quarter To Death Extreme,qtd,bil,qtdex,qtdex,1
Quarter To Death Hard,qtd,bil,qtdh,qtdh,1
Quarter To Death Medium,qtd,bil,qtdm,qtdm,1
RA2 - City game,race adv2c,ste,race adventures2c,Race adv2c,
RA2 - City game 2Player,race adv2c,ste,race adventures2c,Race adv2c 2p,2
RA2 - City game 3Player,race adv2c,ste,race adventures2c,Race adv2c 3p,3
RA2 - City game 4Player,race adv2c,ste,race adventures2c,Race adv2c 4p,4
RA2 - City game 5Player,race adv2c,ste,race adventures2c,Race adv2c 5p,5
RA2 - City game 6Player,race adv2c,ste,race adventures2c,Race adv2c 6p,6
RA2 - Extreme race,race adv2,ste,race adventures2ex,Race adv2ex,
RA2 - Extreme race 2Player,race adv2,ste,race adventures2ex,Race adv2ex 2p,2
RA2 - Extreme race 3Player,race adv2,ste,race adventures2ex,Race adv2ex 3p,3
RA2 - Extreme race 4Player,race adv2,ste,race adventures2ex,Race adv2ex 4p,4
RA2 - Extreme race 5Player,race adv2,ste,race adventures2ex,Race adv2ex 5p,5
RA2 - Extreme race 6Player,race adv2,ste,race adventures2ex,Race adv2ex 6p,6
RA2 - Zooka game,race adv2z,ste,race adventures2z,Race adv2z,
RA2 - Zooka game 2Player,race adv2z,ste,race adventures2z,Race adv2z 2p,2
RA2 - Zooka game 3Player,race adv2z,ste,race adventures2z,Race adv2z 3p,3
RA2 - Zooka game 4Player,race adv2z,ste,race adventures2z,Race adv2z 4p,4
RA2 - Zooka game 5Player,race adv2z,ste,race adventures2z,Race adv2z 5p,5
RA2 - Zooka game 6Player,race adv2z,ste,race adventures2z,Race adv2z 6p,6
Ra2 zooka mod 2p,Race adv2z,ste,ra2 mod zooka,ra2 mod 2p,2
Ra2 zooka mod 3p,Race adv2z,ste,ra2 mod zooka,ra2 mod 3p,3
Ra2 zooka mod 4p,Race adv2z,ste,ra2 mod zooka,ra2 mod 4p,4
Ra2 Zooka Mod:  << DAFE BOTS! 3-6 WANTED! >>,Race adv2z,ste,ra2 zooka army bots,ra2 zooka army bots,
Race Adventures,Race adv,ste,Race Adventures,Race adv 6p,
Race Adventures 2,race adv2,ste,race adventures2,Race adv2,
Race Adventures 2 2Player,race adv2,ste,race adventures2,Race adv2 2p,2
Race Adventures 2 3Player,race adv2,ste,race adventures2,Race adv2 3p,3
Race Adventures 2 4Player,race adv2,ste,race adventures2,Race adv2 4p,4
Race Adventures 2 5Player,race adv2,ste,race adventures2,Race adv2 5p,5
Race Adventures 2 6Player,race adv2,ste,race adventures2,Race adv2 6p,6
Race Adventures 2 Single Player,race adv2,ste,race adventures2,Race adv2 1p,1
Race adventures® 2 player,Race adv,ste,Race Adventures,Race adv 2p,2
Race adventures® 3 player,Race adv,ste,Race Adventures,Race adv 3p,3
Race adventures® 4 player,Race adv,ste,Race Adventures,Race adv 4p,4
Race adventures® 5 player,Race adv,ste,Race Adventures,Race adv 5p,5
Race adventures® single player,Race adv,ste,Race Adventures,Race adv 1p,1
Race for Rockets 2 player,race4rockets,ste,race4rockets,race4rockets,2
Radio Control Arena 2player,Radio Control Arena,ste,RCA-2p,RCA-2p,2
Radio Control Arena 3player,Radio Control Arena,ste,RCA-3p,RCA-3p,3
Radio Control Arena 4player,Radio Control Arena,ste,RCA-4p,RCA-4p,4
Razors Race 1 player,rr,rr,rrr,rr-1p,1
Razors Race 2 player,rr,rr,rrr2,rr-2p,2
Razors Race 3 player,rr,rr,rrr3,rr-3p,3
Razors Race 4 player,rr,rr,rrr4,rr-4p,4
RC Arena - 2P,RCA,Bil,RCA2-2P,RCA2-2P,2
RC Arena - 3P,RCA,Bil,RCA2-3P,RCA2-3P,3
RC Arena - 4P,RCA,Bil,RCA2-4P,RCA2-4P,4
Redneck arena,redneck_arena,ste,redneck_arena,redneck_arena,
Residential,ste,ste,res-6p,res,
Residential,ste,ste,res-6p,res-6p,
Residential 1Player,ste,ste,ste,ste,1
Residential Race,ste-race,ste,ste-race,ste-race,
Residential Train Hax,ste,ste,stetrain,stetrain,
Rob 1 player,rob,bil,rob-1p,rob-1p,1
Rob 2 player,rob,bil,rob-2p,rob-2p,2
Rob 3 player,rob,bil,rob-3p,rob-3p,3
Rocket and Flamer Arena,rofl,bc_cop,rofl,rofl,
Rocket and Molotov Death Match,Rcktmltdm,ste,rktmltdm,Rcktmltarena,
Rocket Chamber,rocha,rocha,rocha,rocha,
Rocket Chamber - Energy Pellet,rocha,rocha,rocha_ep,rocha_ep,
Rocket Chamber - ep + hd,rocha,rocha,rocha_ep+hd,rocha_ep+hd,
Rocket Chamber - ep + pe,rocha,rocha,rocha_ep+pe,rocha_ep+pe,
Rocket Chamber - ep+hd+pe,rocha,rocha,rocha_ep+hd+pe,rocha_ep+hd+pe,
Rocket Chamber - hd + pe,rocha,rocha,rocha_hd+pe,rocha_hd+pe,
Rocket Chamber - Heavy Duty,rocha,rocha,rocha_hd,rocha_hd,
Rocket Chamber - Party Escort,rocha,rocha,rocha_pe,rocha_pe,
Rocket Wars 1 Player,rw,bil,rw-1p,rw-1p,1
Rocket Wars 2 Player,rw,bil,rw-2p,rw-2p,2
Rocket Wars 3 Player,rw,bil,rw-3p,rw-3p,3
Rocket Wars 4 Player,rw,bil,rw-4p,rw-4p,4
Rocket Wars Forever,rocket4ever,ste,rocket4ever,rocket4ever,
Rocket Wars RBTM,rwrbtm,bil,rwrbtm,rwrbtm,
Rocket_City,Rocket_City,bil,Rocket_City,Rocket_City,
ROCKETFJUL,ROCKETFJUL,bil,ROCKETFJUL 2p,ROCKETFJUL2p,2
ROCKETFJUL 3p,ROCKETFJUL,bil,ROCKETFJUL 3p,ROCKETFJUL 3p,3
Rozjebunda-1p,rzbnda,ste,rzbnda-1p,rozjebunda1p,1
Rozjebunda-2p,rzbnda,ste,rzbnda-2p,rozjebunda2p,2
Rozjebunda-3p,rzbnda,ste,rzbnda-3p,rozjebunda3p,3
Rozjebunda-4p,rzbnda,ste,rzbnda-4p,rozjebunda4p,4
Russian Mafia's Factory 2 Players,rmf,bil,rmf2,rmf2,2
Russian Mafia's Factory 3 Players,rmf,bil,rmf3,rmf3,3
Russian Mafia's Factory 4 Players,rmf,bil,rmf4,rmf4,4
SanAn Scramble 1 Player,sanb,sanb,san-an-1p,san-an-1p,1
SanAn Scramble 2 Player,sanb,sanb,san-an-2p,san-an-2p,2
SanAn Scramble 3 Player,sanb,sanb,san-an-3p,san-an-3p,3
SanAn Scramble 4 Player,sanb,sanb,san-an-4p,san-an-4p,4
Scavenger 1 player,sca,bil,sca-6P,sca-1p,1
Scavenger 2 player,sca,bil,sca-6P,sca-2p,2
Scavenger 3 player,sca,bil,sca-6P,sca-3p,3
Scavenger 4 player,sca,bil,sca-6P,sca-4p,4
Scavenger 5 player,sca,bil,sca-6P,sca-5p,5
Scavenger 6 player,sca,bil,sca-6P,sca-6p,6
Sektor's GoGoGo Tank,gogogotank,ste,gogogotank,gogogotank,
SHOT! 1 player,SHOT!,wil,SHOT!,SHOT!-1p,1
SHOT! 2 player,SHOT!,wil,SHOT!,SHOT!-2p,2
SHOT! 3 player,SHOT!,wil,SHOT!,SHOT!-3p,3
SHOT! 4 player,SHOT!,wil,SHOT!,SHOT!-4p,4
Snowball City 2,sc2,sc2,sc2,sc2,1
Snowy City,mw4,Rick_Army,snowycity,snowycity,3
Soccer 1 Player,Soccer,bil,Soccer,Soccer1p,1
Soccer 2 Player,Soccer,bil,Soccer,Soccer2p,2
South Town - GTA Anywhere City Stories Act 1,southtown,wil,southtown,southtown,
Spawn Kill Arena,ska,bil,ska,ska,
Static Race,sr,bil,sr,sr,
Suburban Anarchy 2 player,Suburban_Anarchy,wil,suburban_anarchy,Sub_anarchy-2p,2
Suburban Anarchy 3 player,Suburban_Anarchy,wil,suburban_anarchy,Sub_anarchy-3p,3
Suburban Anarchy 4 player,Suburban_Anarchy,wil,suburban_anarchy,Sub_anarchy-4p,4
Suburban Anarchy 5 player,Suburban_Anarchy,wil,suburban_anarchy,Sub_anarchy-5p,5
Suburban Anarchy 6 player,Suburban_Anarchy,wil,suburban_anarchy,Sub_anarchy-6p,6
Super Tank 1 player,ste,ste,supertank,supertank,1
Super Tank 2 player,ste,ste,supertank,supertank-2p,2
Super Train,supertrain,bil,supertrain,supertrain,
Superman,bil,bil,superman,superman,
Survivor in the Army Base,sab,bil,sab,sab,1
SWAT 1 Player,swt,ste,swt-6p,swt-1p,1
SWAT 2 Player,swt,ste,swt-6p,swt-2p,2
SWAT 3 Player,swt,ste,swt-6p,swt-3p,3
SWAT 4 Player,swt,ste,swt-6p,swt-4p,4
SWAT 5 Player,swt,ste,swt-6p,swt-5p,5
SWAT 6 Player,swt,ste,swt-6p,swt-6p,6
Tafl,tafl,bil,tafl,tafl,
Takapajula 2 Player by Jouko,takapajula,wil,takapajula,Takapajula2,2
Takapajula 3 Player by Jouko,takapajula,wil,takapajula,Takapajula3,3
Takapajula 4 Player by Jouko,takapajula,wil,takapajula,Takapajula4,4
Takapajula 5 Player by Jouko,takapajula,wil,takapajula,Takapajula5,5
Takapajula 6 Player by Jouko,takapajula,wil,takapajula,Takapajula6,6
Tank Race,tankrace,ste,tankrace,tankrace,
Tank Yomi,tankyomi,bil,tankyomi,tankyomi,
Tankman,bil,bil,tankman,tankman,
Team Deathmatch 1 Player,tdm,wil,tdm-1p,tdm-1p,1
Team Deathmatch 2 Player,tdm,wil,tdm-2p,tdm-2p,2
Team Deathmatch 3 Player,tdm,wil,tdm-3p,tdm-3p,3
Team Deathmatch 4 Player,tdm,wil,tdm-4p,tdm-4p,4
Team failure 4p,td,bil,td,td4,4
Team Tiny Town 1 player,MP1-comp,bil,teamtiny,teamtiny1p,1
Team Tiny Town 2 player,MP1-comp,bil,teamtiny,teamtiny2p,2
Team Tiny Town 3 player,MP1-comp,bil,teamtiny,teamtiny3p,3
Team Tiny Town 4 player,MP1-comp,bil,teamtiny,teamtiny4p,4
Team Tiny Town 5 player,MP1-comp,bil,teamtiny,teamtiny5p,5
Team Tiny Town 6 player,MP1-comp,bil,teamtiny,teamtiny6p,6
test,bil,bil,arrowtest,test,
Test Drive,tstd,tstd,tstd,tstd,
Test Electro,epza,bil,testelectro,testelectro,
Test Flight,MP2-comp,wil,testflight,testflight,
test radar,ste,ste,test,testradar,
Testing,bil,bil,mapname,mapname,
The Island,TheIsland,bil,TheIsland,TheIsland,
The Rock 1 Player,rck,bil,rck-6p,rck-1p,1
The Rock 2 Player,rck,bil,rck-6p,rck-2p,2
The Rock 3 Player,rck,bil,rck-6p,rck-3p,3
The Rock 4 Player,rck,bil,rck-6p,rck-4p,4
The Rock 5 Player,rck,bil,rck-6p,rck-5p,5
The Rock 6 Player,rck,bil,rck-6p,rck-6p,6
TheTinest,TheTinest,ste,TheTinest,TheTinest,
TheTinestwater,TheTinestwater,ste,TheTinestwater,TheTinestwater,
Tiny Army Town,tat,bil,tat,tat,
Tiny Face Off,tyfo,ste,tyfo,tyfo,
Tiny Face Off Arena,tyfo-arena,ste,tyfo-arena,tyfo-arena,
Tiny Face Off Army Lite,tyfo_army,tyfo_army_lite,tyfo_army_lite,tyfo_army_lite,
Tiny Face Off Army Lite - no train,tyfo_army,tyfo_army_lite,tyfo_army_lite_nt,tyfo_army_lite_nt,
Tiny Face Off Shotgun Arena,tyfo_shotgun,tyfo_army_lite,tyfo_shotgun,tyfo_shotgun,
Tiny Hidden Surprise Arena,tiny-hs-arena,wil,tiny-hs-arena,tiny-hs-arena,
Tiny Loony Race - 1 Players,tlr,wil,tlr-1p,tlr-1p,1
Tiny Loony Race - 2 Players,tlr,wil,tlr-2p,tlr-2p,2
Tiny Loony Race - 3 Players,tlr,wil,tlr-3p,tlr-3p,3
Tiny Loony Race - 4 Players,tlr,wil,tlr-4p,tlr-4p,4
Tiny Loony Town 2 Player,TLT,wil,TLT,TLT-2p,2
Tiny Loony Town 3 Player,TLT,wil,TLT,TLT-3p,3
Tiny Loony Town 4 Player,TLT,wil,TLT,TLT-4p,4
Tiny Loony Town 5 Player,TLT,wil,TLT,TLT-5p,5
Tiny Loony Town 6 Player,TLT,wil,TLT,TLT-6p,6
Tiny Scientist,tst,ste,tst-6p,tst-6p,
Tiny Tiny Tiny Town,tytyty,bil2,tytyty,tytyty,
Tiny Tiny Town,tyty,bil2,tyty,tyty,
Tiny Tiny Town - Army,tyty_army,tyty_army,tyty_army,tyty_army,
Tiny Tiny Town Arena,tinytiny-arena,bil,tinytiny-arena,tinytiny-arena,
Tiny Town,MP1-comp,bil,MP1-6P,mp1-6p,
Tiny Town Mod - 2 Players,MP1-comp,bil,Tiny Town Mod 2P,Tiny Town Mod 2P,2
Tiny Town Mod - 3 Players,MP1-comp,bil,Tiny Town Mod 3P,Tiny Town Mod 3p,3
Tiny Town Mod - 4 Players,MP1-comp,bil,Tiny Town Mod 4P,Tiny Town Mod 4p,4
Tiny Town No Arrow,MP1-comp,no_arrow_bil,MP1-6P,no_arrow_tt,
Tiny Town No invul 2player,MP1-comp,bil,tt_noinvul_2p,tt_noinvul_2p,2
Tiny Town No Invul 3player,MP1-comp,bil,tt_noinvul_3p,tt_noinvul_3p,3
Tiny Town No Invul 4player,MP1-comp,bil,tt_noinvul_4p,tt_noinvul_4p,4
Tiny Town No invul 5player,MP1-comp,bil,tt_noinvul_5p,tt_noinvul_5p,5
Tiny Town No invul 6player,MP1-comp,bil,tt_noinvul_6p,tt_noinvul_6p,6
Tiny Town Revised 2player,MP1-comp,bil,TTrevised,ttrev2p,2
Tiny Town Revised 3player,MP1-comp,bil,TTrevised,ttrev3p,3
Tiny Town Revised 4player,MP1-comp,bil,TTrevised,ttrev4p,4
Tiny Town Revised 5player,MP1-comp,bil,TTrevised,ttrev5p,5
Tiny Town Revised 6player,MP1-comp,bil,TTrevised,ttrev6p,6
Tiny Town Tuning 2player,TT-tuning,bil,TT-tuning,ttt-2p,2
Tiny Town Tuning 3player,TT-tuning,bil,TT-tuning,ttt-3p,3
Tiny Town Tuning 4player,TT-tuning,bil,TT-tuning,ttt-4p,4
Tiny Town Tuning 5player,TT-tuning,bil,TT-tuning,ttt-5p,5
Tiny Town Tuning 6player,TT-tuning,bil,TT-tuning,ttt-6p,6
Tiny Yakuza Town 2Player,TYT,wil,TYT,TYT-2p,2
Tiny Yakuza Town 3Player,TYT,wil,TYT,TYT-3p,3
Tiny Yakuza Town 4Player,TYT,wil,TYT,TYT-4p,4
Tiny Yakuza Town 5Player,TYT,wil,TYT,TYT-5p,5
Tiny Yakuza Town 6Player,TYT,wil,TYT,TYT-6p,6
Tiny Zaibatsu Town 1Player,TZT,wil,TZT,TZT-1p,1
Tiny Zaibatsu Town 2Player,TZT,wil,TZT,TZT-2p,2
Tiny Zaibatsu Town 3Player,TZT,wil,TZT,TZT-3p,3
Tiny Zaibatsu Town 4Player,TZT,wil,TZT,TZT-4p,4
Tiny Zaibatsu Town 5Player,TZT,wil,TZT,TZT-5p,5
Tiny Zaibatsu Town 6Player,TZT,wil,TZT,TZT-6p,6
Tiny³ Town Arena,tytyty-arena,bil,tytyty-arena,tytyty-arena,
TMCP City 2 Player,TMCP,bil,tmcp,TMCP-2p,2
TMCP City 3 Player,TMCP,bil,tmcp,TMCP-3p,3
TMCP City 4 Player,TMCP,bil,tmcp,TMCP-4p,4
Tower Arena 1 Player,are,bil,are-6p,are-1p,1
Tower Arena 2 Player,are,bil,are-6p,are-2p,2
Tower Arena 3 Player,are,bil,are-6p,are-3p,3
Tower Arena 4 Player,are,bil,are-6p,are-4p,4
Tower Arena 5 Player,are,bil,are-6p,are-5p,5
Tower Arena 6 Player,are,bil,are-6p,are-6p,6
Trailer Test,wsrace,ste,trailertest,trailertest,
TRON Arena,tron-arena,tron-arena,tron-arena,tron-arena,
TRON Test,tron,tron,tron,tron,
TRON: Disc War,tron-cycles,bil,tron-discs,tron-discs,
TRON: Light Cycles,tron-cycles,bil,tron-cycles,tron-cycles,
TRON: Light Jets,tron-jets,bil,tron-jets,tron-jets,
TRON: Tank Battle,tron-cycles,bil,tron-tanks,tron-tanks,
UFO,ufo,ufo,ufo,ufo,
UFO test,bil,bil,ufo,ufotest,
Unreal: Coret Capture,ut-coret,bil,ut-coret,ut-coret,
Unreal: Fractal Frags,ut-fractal,bil,ut-fractal,ut-fractal,
Unreal: Mazon Assault,ut-mazon,bil,ut-mazon,ut-mazon,
Unreal: Niven Capture,ut-niven,bil,ut-niven,ut-niven,
Unreal: Phobos Frags,ut-phobos,bil,ut-phobos,ut-phobos,
Vedic Assault,vedic-assault,bil,vedic-assault,vedic-assault,
Vedic Pirates,vedic-pirates,bil,vedic-pirates,vedic-pirates,
Vedic Temple,vedic,bil,vedic,vedic,
Veneric Isle 1 Player,VenericIsle,bil,VenericIsle,VenericIsle-1p,1
Veneric Isle 2 Players,VenericIsle,bil,VenericIsle,VenericIsle-2p,2
Veneric Isle 3 Players,VenericIsle,bil,VenericIsle,VenericIsle-3p,3
Veneric Isle 4 Players,VenericIsle,bil,VenericIsle,VenericIsle-4p,4
Veneric Isle 5 Players,VenericIsle,bil,VenericIsle,VenericIsle-5p,5
Veneric Isle 6 Players,VenericIsle,bil,VenericIsle,VenericIsle-6p,6
Vice City + cars,gta2vc,gta2vc,gta2vc,gta2vc,
Wario Town,wariotown,wil,wariotown,wariotown,
Wario Town 1 player,Wario5-01,wil,wario5-01,Wario5-01-1p,1
Wario Town 2 player,Wario5-01,wil,wario5-01,Wario5-01-2p,2
Wario Town 3 player,Wario5-01,wil,wario5-01,Wario5-01-3p,3
Wario Town 4 player,Wario5-01,wil,wario5-01,Wario5-01-4p,4
Wario Town 5 player,Wario5-01,wil,wario5-01,Wario5-01-5p,5
Wario Town 6 player,Wario5-01,wil,wario5-01,Wario5-01-6p,6
Wario's Junkyard,w-Junkyard,wil,w-junkyard,w-junkyard,
Water Slow Race,wsrace,ste,wsrace,wsrace,
Weaponstore 2p,weaponstore,ste,weapons,weaponstore-2p,2
Weaponstore 3p,weaponstore,ste,weapons,weaponstore-3p,3
Weaponstore 4p,weaponstore,ste,weapons,weaponstore-4p,4
Western 2Player,western,ste,western,western-2p,2
Western 3Player,western,ste,western,western-3p,3
Western 4Player,western,ste,western,western-4p,4
Western 5Player,western,ste,western,western-5p,5
Western 6Player,western,ste,western,western-6p,6
Whatever City Demo 2 Players,WhateverCity Demo,wil,WhateverCity Demo 2P,WhateverCity Demo 2P,2
Whatever City Demo 3 Players,WhateverCity Demo,wil,WhateverCity Demo 3P,WhateverCity Demo 3P,3
Whatever City Demo 4 Players,WhateverCity Demo,wil,WhateverCity Demo 4P,WhateverCity Demo 4P,4
Whatever City Demo 5 Players,WhateverCity Demo,wil,WhateverCity Demo 5P,WhateverCity Demo 5P,5
Whatever City Demo 6 Players,WhateverCity Demo,wil,WhateverCity Demo 6P,WhateverCity Demo 6P,6
Whatever City Demo Single Player,WhateverCity Demo,wil,WhateverCity Demo 1P,WhateverCity Demo 1P,1
Wild West,Wild_West,ste,Wild_West,Wild_West,
Yakuza VS Loonies 2P Briefcase Battle,lorne2eEdited,wil,YLTB1-4,YLTB1-4,2
Yakuza VS Loonies 2P DM Battle,lorne2eEdited,wil,YVLDM2P,YVLDM2P,2
Yakuza VS Loonies 2P Team Battle,lorne2eEdited,wil,YVLTB2P,YVLTB2P,2
Yakuza VS Loonies 3P Briefcase Battle,lorne2eEdited,wil,YLTB12-4,YLTB12-4,3
Yakuza VS Loonies 3P DM Battle,lorne2eEdited,wil,YVLDM3P,YVLDM3P,3
Yakuza VS Loonies 3P Team Battle,lorne2eEdited,wil,YVLTB3P,YVLTB3P,3
Yakuza VS Loonies 4P Briefcase Battle,lorne2eEdited,wil,YLTB12-45,YLTB12-45,4
Yakuza VS Loonies 4P DM Battle,lorne2eEdited,wil,YVLDM4P,YVLDM4P,4
Yakuza VS Loonies 4P Team Battle,lorne2eEdited,Wil,YVLTB4P,YVLTB4P,4
Yakuza VS Loonies 5P Briefcase Battle,lorne2eEdited,wil,YLTB12-456,YLTB12-456,5
Yakuza VS Loonies 5P DM Battle,lorne2eEdited,wil,YVLDM5P,YVLDM5P,5
Yakuza VS Loonies 5P Team Battle,lorne2eEdited,wil,YVLTB5P,YVLTB5P,5
Yakuza VS Loonies 6P Briefcase Battle,lorne2eEdited,wil,YLTB123-456,YLTB123-456,6
Yakuza VS Loonies 6P DM Battle,lorne2eEdited,wil,YVLDM6P,YVLDM6P,6
Yakuza VS Loonies 6P Team Battle,lorne2eEdited,wil,YVLTB6P,YVLTB6P,6
Zaibatsu's Warehouse 2 Players,zhouse,wil,zhouse,zhouse2p,2
Zaibatsu's Warehouse 3 Players,zhouse,wil,zhouse,zhouse3p,3
Zaibatsu's Warehouse 4 Players,zhouse,wil,zhouse,zhouse4p,4
Zombies,zombies,ste,zombies,zombies,
Zooka Areen'a 2 Players,zooka_areena,ste,zooka_areena,zooka_areena2p,2
Zooka Areen'a 3 Players,zooka_areena,ste,zooka_areena,zooka_areena3p,3
Zooka Areen'a 4 Players,zooka_areena,ste,zooka_areena,zooka_areena4p,4
